Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
190,0.0582,3.5188,0.9886,0.8982,0.9669,0.8066,0.9775,0.8463,0.9565,0.7407
191,0.0584,3.6093,0.9885,0.8985,0.9666,0.8063,0.9773,0.8463,0.9562,0.7406
192,0.0569,3.554,0.9892,0.8996,0.9677,0.806,0.9782,0.8467,0.9578,0.7412
193,0.0572,3.5163,0.9891,0.8988,0.9676,0.8069,0.9781,0.8468,0.9577,0.7414
194,0.058,3.4601,0.989,0.8968,0.968,0.808,0.9783,0.8465,0.9579,0.741
195,0.0572,3.5296,0.9887,0.8972,0.9678,0.8078,0.9781,0.8467,0.9575,0.7412
196,0.0559,3.5191,0.9887,0.8989,0.9686,0.8064,0.9785,0.8466,0.9583,0.7411
197,0.0577,3.5886,0.9885,0.9001,0.9678,0.8055,0.978,0.8467,0.9574,0.7412
198,0.0573,3.5412,0.9887,0.899,0.9675,0.8067,0.9779,0.8468,0.9574,0.7414
199,0.0562,3.4986,0.9893,0.9011,0.9681,0.8047,0.9785,0.8466,0.9583,0.7411
